bug_id,final_outcome,tp_cnt,tf_cnt,cf_cnt
Lang-5,compile error,0,0,10
Compress-12,test failed,0,3,7
Jsoup-40,test passed,1,9,0
Cli-26,test failed,0,2,8
Chart-8,test passed,1,2,7
JacksonCore-21,test failed,0,5,5
Codec-17,test passed,1,7,2
Compress-35,test passed,1,5,4
Lang-31,test failed,0,7,3
Chart-11,test passed,6,1,3
Codec-7,test passed,3,4,3
Gson-2,test failed,0,7,3
Time-24,test failed,0,8,2
Chart-20,test passed,1,5,4
Math-82,test passed,4,6,0
Time-7,test passed,2,8,0
JacksonXml-1,compile error,0,0,10
Chart-5,test failed,0,4,6
Lang-48,test failed,0,10,0
Lang-45,test passed,4,6,0
Gson-15,test failed,0,10,0
Csv-11,test passed,3,5,2
Gson-11,test failed,0,8,2
Jsoup-2,test failed,0,6,4
Math-74,test failed,0,9,1
Jsoup-88,test passed,4,4,2
Jsoup-86,test passed,1,8,1
Math-69,test failed,0,10,0
Codec-2,test passed,1,8,1
Compress-21,test passed,2,8,0
Closure-10,test passed,2,2,6
Jsoup-39,test passed,4,6,0
Jsoup-90,test passed,5,5,0
JacksonDatabind-82,test failed,0,5,5
Closure-105,test failed,0,5,5
Compress-1,test failed,0,6,4
JacksonDatabind-76,test failed,0,2,8
JacksonDatabind-17,test passed,1,9,0
Time-5,test failed,0,10,0
Closure-97,test failed,0,8,2
Jsoup-50,compile error,0,0,10
Lang-44,test passed,1,9,0
JacksonCore-25,test passed,4,6,0
Jsoup-55,test passed,1,5,4
Chart-9,test passed,2,8,0
Closure-22,test failed,0,2,8
Jsoup-43,test passed,1,4,5
Closure-116,test failed,0,7,3
Mockito-5,test passed,1,1,8
Math-52,test failed,0,9,1
Lang-21,test passed,4,5,1
Mockito-22,test failed,0,10,0
JacksonCore-4,test failed,0,10,0
Closure-18,test passed,1,9,0
Lang-59,test passed,2,7,1
Jsoup-80,test passed,5,3,2
Lang-65,compile error,0,0,10
Time-4,test failed,0,2,8
JacksonCore-20,test failed,0,6,4
Math-85,test passed,6,4,0
Lang-10,test passed,1,9,0
JacksonDatabind-98,test failed,0,8,2
Closure-5,test failed,0,10,0
Lang-49,test failed,0,10,0
Closure-81,test failed,0,9,1
Lang-55,test passed,2,8,0
Chart-4,test passed,5,1,4
Mockito-18,test failed,0,8,2
Lang-17,test passed,1,9,0
Codec-18,test passed,1,8,1
Closure-61,test failed,0,6,4
Closure-133,test failed,0,6,4
Mockito-20,test failed,0,7,3
Cli-35,test failed,0,10,0
Closure-118,test failed,0,7,3
Math-103,test failed,0,8,2
Closure-25,test failed,0,10,0
JacksonDatabind-24,test passed,3,5,2
Math-80,test passed,1,9,0
Cli-25,test passed,1,9,0
Closure-161,test failed,0,10,0
Math-48,test failed,0,10,0
Closure-145,test failed,0,10,0
Chart-12,test passed,2,2,6
Lang-37,test failed,0,10,0
Codec-4,test failed,0,2,8
Closure-53,test failed,0,10,0
Closure-40,test passed,3,6,1
Lang-16,test passed,2,6,2
Jsoup-49,test passed,1,6,3
Math-17,test failed,0,4,6
Math-41,test passed,2,7,1
JacksonDatabind-19,test failed,0,9,1
Jsoup-82,test failed,0,4,6
Time-22,test failed,0,1,9
Math-13,test failed,0,8,2
JacksonDatabind-93,test passed,2,7,1
Closure-119,test failed,0,6,4
Closure-56,test failed,0,9,1
Math-95,test passed,2,8,0
JacksonCore-11,test failed,0,10,0
JacksonDatabind-28,test failed,0,5,5
Time-19,test passed,2,8,0
Gson-10,test failed,0,5,5
Math-91,test failed,0,9,1
Math-73,test failed,0,10,0
JacksonDatabind-16,test passed,4,6,0
Closure-125,test passed,3,3,4
Closure-19,test failed,0,6,4
Closure-176,test failed,0,10,0
Cli-11,test passed,1,8,1
Math-21,compile error,0,0,10
JacksonDatabind-42,test failed,0,3,7
Jsoup-10,test failed,0,8,2
Closure-50,test failed,0,6,4
Codec-10,test passed,1,9,0
Closure-104,test passed,4,3,3
Closure-132,test failed,0,8,2
Math-101,test passed,5,4,1
JacksonDatabind-88,test failed,0,9,1
Compress-30,test passed,7,2,1
JacksonDatabind-96,test failed,0,2,8
Csv-1,test failed,0,9,1
Closure-35,test failed,0,9,1
Closure-2,test failed,0,2,8
Closure-160,test failed,0,10,0
Lang-53,test passed,1,9,0
Closure-164,test failed,0,7,3
Jsoup-33,test passed,3,7,0
Closure-39,test failed,0,2,8
Math-75,test passed,1,8,1
Closure-55,test failed,0,3,7
Cli-9,test passed,8,0,2
Math-11,test passed,5,4,1
Jsoup-20,test failed,0,10,0
JacksonDatabind-33,test failed,0,10,0
Jsoup-57,test passed,9,1,0
Time-25,test failed,0,9,1
Closure-17,test failed,0,9,1
Mockito-27,test failed,0,3,7
Math-9,test failed,0,7,3
Cli-5,test passed,6,4,0
JacksonDatabind-7,test failed,0,3,7
Lang-27,test passed,2,6,2
JacksonDatabind-35,test failed,0,8,2
Lang-22,test passed,2,7,1
Closure-94,test failed,0,6,4
Closure-67,test failed,0,8,2
Jsoup-27,test failed,0,10,0
Gson-6,test passed,1,1,8
JacksonDatabind-11,test failed,0,7,3
JacksonXml-4,test failed,0,3,7
Lang-38,test failed,0,10,0
Csv-5,test failed,0,6,4
Csv-6,test passed,6,4,0
Mockito-24,test failed,0,8,2
JacksonDatabind-67,test passed,2,0,8
Mockito-38,test passed,3,4,3
Math-5,test failed,0,8,2
Cli-14,test failed,0,8,2
Math-39,test failed,0,10,0
Chart-1,test passed,8,0,2
JxPath-21,test failed,0,7,3
Jsoup-72,test passed,3,7,0
JacksonDatabind-64,test failed,0,10,0
Math-25,test failed,0,9,1
JacksonDatabind-5,test failed,0,7,3
Closure-69,test failed,0,6,4
Closure-168,test passed,3,7,0
Closure-15,test failed,0,10,0
Closure-13,test passed,3,1,6
Lang-54,test failed,0,10,0
Compress-28,test failed,0,7,3
Lang-9,test failed,0,10,0
Math-102,test failed,0,10,0
Lang-61,test passed,1,7,2
Cli-37,test passed,1,8,1
Chart-3,test failed,0,2,8
Compress-36,test failed,0,8,2
Math-44,compile error,0,0,10
JacksonDatabind-9,test failed,0,6,4
Csv-9,test passed,1,8,1
Codec-6,test failed,0,8,2
Lang-18,test passed,1,5,4
Jsoup-48,test failed,0,7,3
