bug_id,au_result,my_result
Cli-19,test failed,test passed
Closure-166,test failed,test failed
Closure-91,test failed,test failed
Jsoup-72,test passed,test passed
Math-94,test passed,test passed
Lang-53,test failed,test failed
Jsoup-70,test passed,test passed
Cli-28,test passed,test passed
Jsoup-20,test failed,test failed
Math-5,test failed,test failed
Gson-15,test failed,test failed
Closure-152,test passed,test passed
JxPath-22,test failed,test failed
Lang-14,test passed,test passed
Jsoup-10,test failed,test failed
Cli-38,test failed,test failed
Math-84,test passed,test passed
Csv-4,test failed,test failed
Math-102,test failed,test failed
Cli-23,test passed,test passed
Closure-50,test failed,test failed
JxPath-10,test failed,test failed
Closure-104,test passed,test passed
Compress-10,compile error,test failed
Math-80,test passed,test passed
Mockito-1,test passed,test passed
Closure-87,test failed,test failed
Closure-92,test passed,test passed
JacksonDatabind-37,test failed,test failed
Chart-10,test failed,test failed
Math-97,test failed,test failed
Chart-1,test passed,test passed
Math-96,test failed,test passed
Cli-15,test failed,test failed
Closure-12,test failed,compile error
Math-17,test failed,test failed
Closure-33,test failed,test passed
Closure-112,test failed,test failed
Closure-99,test failed,test failed
Compress-18,test passed,test passed
JacksonDatabind-100,test failed,test failed
JacksonDatabind-70,test passed,test passed
Math-48,test failed,test failed
Compress-24,test failed,test failed
Jsoup-41,test passed,test passed
Cli-27,test failed,test failed
Codec-2,test failed,test failed
Lang-24,test passed,test passed
JxPath-12,test failed,test failed
Lang-44,test failed,test failed
Lang-5,compile error,compile error
JacksonXml-3,test failed,test failed
Jsoup-49,test passed,test passed
Closure-38,test passed,test failed
Closure-97,test failed,test failed
Lang-33,test passed,test passed
Closure-129,test failed,test failed
Closure-172,test failed,test failed
Closure-35,test failed,test failed
Closure-82,test failed,test failed
Math-44,compile error,compile error
Jsoup-37,test failed,test failed
JacksonXml-4,test failed,test failed
Closure-21,compile error,compile error
Compress-27,test passed,test passed
Math-43,test failed,test failed
Time-23,test failed,test failed
Closure-62,test passed,test passed
Time-16,test failed,test failed
Closure-159,test failed,test failed
Chart-11,test passed,test passed
Chart-5,test failed,test failed
Lang-49,test failed,test failed
Jsoup-1,test passed,test passed
Csv-5,test passed,test failed
Gson-13,test failed,test failed
Compress-14,test passed,test failed
Mockito-22,test failed,test failed
Jsoup-90,test passed,test passed
Lang-58,test passed,test passed
Lang-31,test failed,test failed
Closure-105,test failed,test failed
Math-45,test failed,test failed
Lang-11,test passed,test failed
Jsoup-57,test passed,test passed
Jsoup-24,test passed,test passed
Closure-130,test failed,test failed
Lang-12,test passed,test failed
Lang-65,test failed,compile error
JacksonCore-25,test passed,test passed
JacksonCore-21,test failed,compile error
JacksonCore-7,test failed,test failed
Lang-52,test passed,test passed
Time-15,test passed,test passed
Chart-26,test passed,test failed
Math-72,test passed,test passed
Cli-32,test failed,test passed
Closure-160,test failed,test failed
Math-8,test passed,compile error
Closure-31,test passed,test passed
Closure-168,test passed,test passed
Closure-10,test passed,test passed
Lang-43,test passed,test passed
Math-85,test passed,test passed
Compress-12,test failed,test failed
Mockito-28,test failed,test failed
JacksonDatabind-71,test failed,test failed
Math-91,test passed,test passed
JxPath-5,test passed,test passed
Lang-19,compile error,compile error
Closure-128,test passed,test failed
Closure-14,test failed,test failed
Csv-2,test failed,test failed
Closure-70,test passed,test passed
Closure-65,test passed,test passed
Cli-35,test failed,test failed
Math-13,test failed,test failed
Math-74,test failed,test failed
JacksonDatabind-7,test failed,test failed
Jsoup-34,test passed,test passed
Cli-12,test failed,test failed
Jsoup-6,test passed,test passed
JacksonDatabind-19,test failed,test failed
Mockito-38,test passed,test passed
Closure-96,test failed,test failed
JacksonDatabind-17,test passed,test passed
Mockito-34,test passed,test passed
Mockito-29,test passed,test passed
Lang-17,test passed,test passed
Closure-56,test failed,test failed
Chart-20,test passed,test passed
JacksonDatabind-67,test passed,test passed
JacksonDatabind-54,test passed,test passed
JacksonCore-8,test passed,test failed
Jsoup-82,test failed,test failed
JacksonDatabind-112,test failed,test failed
Lang-26,test passed,test failed
Time-25,test failed,test failed
Closure-83,test failed,test failed
JacksonDatabind-34,test passed,test failed
Closure-4,test failed,test failed
Math-57,test passed,test passed
JacksonDatabind-57,test passed,test passed
JxPath-8,test failed,test failed
Csv-3,test failed,test failed
Compress-44,test passed,test passed
Closure-53,test failed,test failed
JacksonCore-6,test failed,test failed
Math-20,test failed,test failed
Closure-81,test failed,test failed
JacksonDatabind-99,test passed,test failed
Math-2,test passed,test failed
Math-31,compile error,compile error
Lang-3,test failed,test failed
Math-27,test passed,test failed
Cli-25,test passed,test passed
Closure-73,test passed,test passed
Closure-126,test failed,test passed
Math-50,test passed,test failed
JacksonDatabind-101,test passed,test failed
Math-34,test passed,test passed
Compress-26,test failed,test failed
JacksonCore-3,test failed,test failed
Chart-3,test failed,test failed
Codec-3,test passed,test passed
Closure-18,test passed,test passed
Cli-14,test failed,test passed
Closure-122,test failed,test failed
Lang-1,test failed,test failed
JacksonDatabind-24,test passed,test passed
Closure-124,test passed,test failed
JacksonDatabind-62,test failed,test failed
JacksonDatabind-45,test failed,test failed
Lang-39,test passed,test passed
Closure-133,test failed,test failed
Csv-11,test passed,test passed
JacksonDatabind-28,test failed,test failed
Closure-11,test passed,test passed
Closure-59,test passed,test passed
JacksonDatabind-51,test failed,test failed
Closure-116,test failed,compile error
Compress-8,test failed,test failed
Time-19,test passed,test passed
Chart-12,test passed,test passed
JacksonCore-15,test failed,test failed
Csv-14,test failed,test passed
Jsoup-88,test passed,test passed
Lang-16,test failed,test failed
Closure-115,test passed,compile error
Closure-52,test passed,test failed
