bug_id,final_outcome,tp_cnt,tf_cnt,cf_cnt,to_cnt
Chart-26,test failed,0,9,1,0
Cli-37,test failed,0,9,0,1
Closure-109,compile error,0,0,3,7
Closure-115,compile error,0,0,6,4
Closure-124,test failed,0,3,0,7
Closure-128,test failed,0,4,1,5
Closure-38,test failed,0,9,1,0
Closure-52,test failed,0,9,1,0
Closure-7,test failed,0,9,1,0
Codec-17,test failed,0,4,6,0
Codec-18,test failed,0,9,1,0
Compress-14,test failed,0,9,1,0
Compress-21,test failed,0,10,0,0
Compress-25,test failed,0,2,8,0
Compress-7,test failed,0,10,0,0
Csv-15,test failed,0,9,1,0
Csv-5,test failed,0,6,4,0
JacksonCore-8,test failed,0,9,1,0
JacksonDatabind-101,test failed,0,8,1,1
JacksonDatabind-102,compile error,0,0,10,0
JacksonDatabind-12,test failed,0,4,6,0
JacksonDatabind-34,test failed,0,3,7,0
JacksonDatabind-46,test failed,0,9,1,0
JacksonDatabind-47,test failed,0,4,6,0
JacksonDatabind-49,test failed,0,7,3,0
JacksonDatabind-76,test failed,0,1,9,0
JacksonDatabind-93,test failed,0,9,1,0
JacksonDatabind-96,test failed,0,5,5,0
JacksonDatabind-99,test failed,0,8,1,1
Jsoup-80,test failed,0,6,4,0
Jsoup-85,test failed,0,10,0,0
Lang-10,test failed,0,10,0,0
Lang-11,test failed,0,10,0,0
Lang-12,test failed,0,9,1,0
Lang-26,test failed,0,8,2,0
Lang-28,test failed,0,10,0,0
Lang-51,test failed,0,10,0,0
Math-2,test failed,0,10,0,0
Math-27,test failed,0,4,6,0
Math-50,test failed,0,9,1,0
Math-53,test failed,0,10,0,0
Math-69,test failed,0,10,0,0
Math-8,compile error,0,0,10,0
Math-95,test failed,0,10,0,0
Mockito-5,compile error,0,0,9,1
Time-20,test failed,0,7,3,0
Time-4,test failed,0,3,7,0
Time-7,test failed,0,8,1,1
